Masława, Mieczysława, Mieszka
Bazylego, Makarego, Narcyzy
Arlety, Danuty, Lucjana
Anieli, Elżbiety, Tytusa
Edwarda, Hanny, Szymona
Kacpra, Melchiora, Baltazara
Juliana, Lucjana, Walentyny
Artura, Rajmunda, Seweryny
Adriana, Alicji, Teresy
Ady, Jana, Wilhelma
Feliksa, Honoraty, Marty
Bernarda, Czesławy, Grety
Bogumiła, Bogumiły, Weroniki
Feliksa, Hilarego, Martyny
Arnolda, Dory, Pawła
Mascelego, Walerii, Włodzimierza
Antoniego, Henryki, Mariana
Beatrycze, Małgorzaty, Piotra
Erwiny, Henryka, Mariusza
Fabioli, Miły, Sebastiana
Agnieszki, Jarosława, Nory
Dominiki, Mateusza, Wincentego
Fernandy, Jana, Rajmundy
Felicji, Roberta, Sławy
Miłosza, Pawła, Tatiany
Lutosława, Normy, Pauliny
Anieli, Juliana, Przemysława
Agnieszki, Kariny, Lesława
Franciszka, Konstancji, Salomei
Martyny, Macieja, Teofila
Joanny, Ksawerego, Luizy
