Brygidy, Dobrogniewa, Ignacego
Kornela, Marii, Mirosławy
Błażeja, Joanny, Telimeny
Andrzeja, Mariusza, Weroniki
Agaty, Filipa, Justyniana
Amandy, Bogdana, Doroty
Ryszarda, Teodora, Wilhelminy
Irminy, Piotra, Sylwii
Bernarda, Eryki, Rajmunda
Elwiry, Elizy, Jacka
Bernadetty, Marii, Olgierda
Czasława, Damiana, Normy
Grzegorza, Lesława, Katarzyny
Liliany, Walentyny, Walentego
Arnolda, Jowity, Georginy
Danuty, Daniela, Juliany
Donata, Gizeli, Łukasza
Konstancji, Krystiana, Sylwany
Bettiny, Konrada, Mirosława
Anety, Lehca, Leona
Eleonory, Lenki, Kiejstuta
Małgorzaty, Marty, Nikifora
Damiana, Romana, Romany
Boguty, Bogusza, Macieja
Almy, Cezarego, Jarosława
Bogumiła, Eweliny, Mirosława
Gagrieli, Liwii, Leonarda
Ludomira, Makarego, Wiliany
Lecha, Lutomira
