Albina, Antoniny, Radosławy
Halszki, Heleny, Karola
Kingi, Maryna, Tycjana
Adrianny, Kazimierza, Wacława
Aurory, Fryderyka, Oliwii
Jordana, Marcina, Róży
Flicyty, Kajetana, Pauli
Beaty, Juliana, Wincentego
Dominika, Franciszki, Katarzyny
Bożysławy, Cypriana, Marcelego
Konstantego, Ludosława, Rozyny
Grzegorza, Justyny, Józefiny
Bożeny, Krystyny, Marka
Dalii, Leona, Matyldy
Delfiny, Longina, Ludwiki
Izabeli, Henryka, Oktawii
Reginy, Patryka, Zdyszka
Edwarda, Narcyza, Zbysława
Aleksandryny, Józefa, Nicety
Joachima, Kiry, Maurycego
Benedykta, Lubomiry, Lubomira
Bogusława, Jagody, Katarzyny
Feliksa, Konrada, Zbysławy
Gabrieli, Marka, Seweryna
Bolka, Cezaryny, Marioli
Dory, Olgi, Teodora
Ernesta, Jana, Marka
Anieli, Kasrota, Soni
Marka, Wiktoryny, Zenona
Amelii, Dobromira, Leonarda
Balbiny, Kamila, Kornelii
