Chryzamtyny, Grażyny, Zygmunta
Franciszka, Malwiny, Władysława
Pankracego, Renaty, Ryszarda
Benedykta, Izodory, Wacławy
Ireny, Kleofasa, Wincentego
Ady, Celestyny, Ireneusza
Donata, Herminy, Rufina
Amadeusza, Cezaryny, Juliany
Mai, Marcelego, Wadima
Borysławy, makarego, Michała
Filipa, Izoldy, Leona
Juliusza, Lubosława, Wiktoryny
Artemona, Justyny, Przemysławy
Bernarda, Martyny, Waleriana
Adolfiny, Odetty, Wacława
Bernarda, Biruty, Erwina
Anicety, Klary, Rudolfina
Apoloniusza, Bogusławy, Gocisławy
Alfa, Leonii, Tytusa
Agnieszki, Amalii, Czecha
Jarosława, Konrada, Selmy
Łukasza, Kai, Nastazji
Ilony, Jerzego, Wojciecha
Bony, Horacji, Jerzego
Jarosława, Marka, Wiki
Marii, Marzeny, Ryszarda
Sergiusza, Teofila, Zyty
Bogny, Walerii, Witalisa
Hugona, Piotra, Roberty
Balladyny, Lilli, Mariana
