Józefa, Lubomira, Ramony
Longiny, Toli, Zygmunta
Jaropełka, Marii, Niny
Floriana, Michała, Moniki
Irydy, Tamary, Waldemara
Beniny, Filipa, Judyty
Augusta, Gizeli, Ludomiry
Kornela, Lizy, Stanisława
Grzegorza, Karoliny, Karola
Antoniny, Izydory, Jana
Igi, Mamerta, Miry
Dominika, Imeldy, Pankracego
Agnieszki, Magdaleny, Serwacego
Bonifacego, Julity, Macieja
Dionizego, Nadziei, Zofii
Andrzeja, Jędrzeja, Małgorzaty
Brunony, Sławomira, Wery
Alicji, Edwina, Eryka
Celestyny, Iwony, Piotra
Bazylego, Bernardyna, Krystyny
Jana, Moniki, Wiktora
Emila, Neleny, Romy
Leoncjusza, Michała, Renaty
Joanny, Zdenka, Zuzanny
Borysa, Magdy, Marii-Magdaleny
Eweliny, Jana, Pawła
Amandy, Jana, Juliana
Augustyna, Ingi, Jaromira
Benity, Maksymiliana, Teodozji
Ferdynanda, Gryzeldy, Zyndrama
Anieli, Feliksa, Kamili
