Gracji, Jakuba, Konrada
Erazma, Marianny, Marzeny
Anatola, Leszka, Tamary
Christy, Helgi, Karola
Bonifacego, Kiry, Waltera
Laury, Laurentego, Nory
Ariadny, Jarosława, Roberta
Ady, Celii, Medarda
Anny-Marii, Felicjana, Sławoja
Bogumiła, Diany, Małgorzaty
Barnaby, Benedykta, Flory
Gwidona, Leonii, Niny
Antoniego, Gracji, Lucjana
Bazylego, Elizy, Justyny
Jolanty, Lotara, Wita
Aliny, Anety, Benona
Laury, Leszka, Marcjana
Elżbiety, Marka, Pauli
Gerwazego, Protazego, Sylwii
Bogny, Rafaeli, Rafała
Alicji, Alojzego, Rudolfa
Pauliny, Sabiny, Tomasza
Albina, Wandy, Zenona
Danuty, Jana, Janiny
Łucji, Witolda, Wilhelma
Jana, Pauliny, Rudolfiny
Cypriana, Emanueli, Władysława
Florentyny, Ligii, Leona
Pawła, Piotra, Salomei
Arnolda, Emiliany, Lucyny
