Bogusza, Haliny, Mariana
Kariny, Serafiny, Urbana
Anatola, Jacka, Mirosławy
Aureli, Malwiny, Zygfryda
Antoniego, Bartłomieja, Karoliny
Dominiki, Jaropełka, Łucji
Estery, Kiry, Rudolfa
Arnolda, Edgara, Elżbiety
Hieronima, Palomy, Weroniki
Filipa, Sylwany, Witalisa
Benedykta, Kariny, Olgi
Brunona, Jana, Wery
Danieli, Irwina, Małgorzaty
Kamili, Kamila, Marcelego
Henryka, Igi, Włodzimierza
Eustachego, Mariki, Mirelli
Aleksego, Bogdana, Martyny
Kamila, Karoliny, Roberta
Alfreny, Rufina, Wincentego
Fryderyka, Małgorzaty, Seweryny
Danieli, Wawrzyńca, Wiktora
Magdaleny, Mileny, Wawrzyńca
Sławy, Sławosza, Żelisławy
Kingi, Krystyna, Michaliny
jakuba, Krzysztofa, Walentyny
Anny, Mirosławy, Joachima
Aureliusza, Natalii, Rudolfa
Ady, Wiwiany, Sylwiusza
Marty, Konstantego, Olafa
Julity, Ludmiły, Zdobysława
Ignacego, Lodomiry, Romana
