Jarosława, Justyny, Nadziei
Gustawa, Kariny, Stefana
Augustyna, Kamelii, Lidii
Dominiki, Dominika, Protazego
Emila, Karoliny, Kary
Jakuba, Sławy, Wincentego
Donaty, Olechny, Kajetana
Izy, Rajmunda, Seweryna
Klary, Romana, Rozyny
Bianki, Borysa, Wawrzyńca
Luizy, Włodzmierza, Zuzanny
Hilarii, Juliana, Lecha
Elwiry, Hipolita, Radosławy
Alfreda, Maksymiliana, Selmy
Marii, napoleona, Stelii
Joachima, Nory, Stefana
Anity, Elizy, Mirona
Bogusława, Bronisława, Ilony
Emilii, Julinana, Konstancji
Bernarda, Sabiny, Samuela
Franciszka, Kazimiery, Ruty
Cezarego, Marii, Zygfryda
Apolinarego, Miły, Róży
Bartosza, Jerzego, Maliny
Belii, Ludwika, Luizy
Ireneusza, Konstantego, Marii
Cezarego, Małgorzaty, Moniki
Adeliny, Erazma, Sobiesława
Beaty, Racibora, Sabiny
Benona, Jowity, Szczęsnego
Cyrusa, Izabeli, Rajmundy
