Belindy, Bronisza, Idziego
Dionizy, Izy, Juliana
Joachima, Liliany, Szymona
Dalii, Idy, Rocha
Doroty, Justyna, Wawrzyńca
Beaty, Eugeniusza, Lidy
Reginy, Marka, Melchiora
Czcibora, Marii, Serafiny
Aldony, Jakuba, Sergiusza
Eligii, Irmy, Łukasza
Dagny, Jacka, Prota
Amadeusza, Gwidy, Sylwiny
Apolinarego, Eugenii, Lubomira
Bernarda, Mony, Roksany
Albina, Lolity, Ronalda
Jagienki, Kamili, Korneliusza
Franciszka, Lamberty, Narcyza
Ireny, Irminy, Stanisława
Januarego, Konstancji, Leopolda
Eustachego, Faustyny, Renaty
Darii, Mateusza, Wawrzyńca
Maury, Milany, Tomasza
Bogusława, Liwiusza, Tekli
Dory, Gerarda, Maryny
Aureli, Kamila, Kleofasa
Cypriana, Justyny, Łucji
Damiana, Mirabeli, Wincentego
Libuszy, Wacławy, Wacława
Michaliny, Michała, Rafała
Geraldy, Honoriusza, Wery
