Heloizy, Igora, Remigiusza
Racheli, Slawy, Teofila
Bogumila, Gerarda, Józefy
Edwina, Roslawy, Rozalii
Flawii, Justyna, Rajmunda
Artura, Fryderyki, Petry
Krystyna, Marii, Marka
Brygidy, Loreny, Marcina
Arnolda, Ludwika, Sybili
Franciszka, Loretty, Poli
Aldony, Brunona, Emila
Krystyny, Maksa, Serafiny
Edwarda, Geraldyny, Teofila
Alany, Damiana, Liwii
Jadwigi, Leonarda, Teresy
Ambrozego, Florentyny, Gawla
Antonii, Ignacego, Wiktora
Hanny, Klementyny, Lukasza
Michaliny, Michala, Piotra
Ireny, Kleopatry, Witalisa
Celiny, Hilarego, Janusza
Haliszki, Lody, Przybyslšwa
Edwarda, Marleny, Seweryna
Arety, Marty, Marcina
Ingi, Maurycego, Sambora
Ewarysta, Lucyny, Lutoslawy
Iwony, Noemi, Szymona
Narcyza, Serafina, Wioletty
Angeli, Przemyslawa, Zenobii
Augustyny, Lukasza, Urbana
Augusta, Lucylla
