Blanki, Edmunda, Eligiusza
Balbiny, Ksawerego, Pauliny
Hilarego, Franciszki, Ksawery
Barbary, Hieronima, Krystiana
Kryspiny, Norberta, Sabiny
Dionizji, Leontyny, Mikołaja
Agaty, Dalii, Sobiesława
Delfiny, Marii, Wirginiusza
Anety, Leokadii, Wiesława
Danieli, Bohdana, Julii
Biny, Damazego, Waldemara
Ady, Aleksandra, Dagmary
Dalidy, Juliusza, Łucji
Alfreda, Izydora, Zoriny
Celiny, Ireneusza, Niny
Albiny, Sebastiana, Zdzisławy
Jolanty, Łukasza, Olimpii
Bogusława, Gracjana, Laury
Beniaminy, Dariusza, Gabrieli
Bogumiły, Dominika, Zefiryna
Honoraty, Seweryny, Tomasza
Bożeny, Drogomira, Zenona
Dagny, Sławomiry, Wiktora
Adama, Ewy, Irminy
Anety, Glorii, Piotra
Dionizego, Kaliksta, Szczepana
Fabioli, Jana, Żanety
Antoniusza, Cezarego, Teofilii
Dawida, Dionizy, Tomasza
Eugeniusza, Katarzyny, Sabiny
Mariusza, Melanii, Sylwestra
